,word,transcript,freq,corr
1791,"['з', 'а', 'п', 'а', 'х', 'о', 'м']","['z', 'a', 'p', 'a', 'h', 'a', 'm']",5,"[('з', 'z'), ('а', 'a'), ('п', 'p'), ('а', 'a'), ('х', 'h'), ('о', 'a'), ('м', 'm')]"
1792,"['з', 'а', 'п', 'е', 'л']","['z', 'a', ""p'"", 'e', 'l']",16,"[('з', 'z'), ('а', 'a'), ('п', ""p'""), ('е', 'e'), ('л', 'l')]"
1793,"['з', 'а', 'п', 'и', 'р', 'а', 'е', 'т']","['z', 'a', ""p'"", 'i', 'r', 'a', 'j', 'i', 'd']",3,"[('з', 'z'), ('а', 'a'), ('п', ""p'""), ('и', 'i'), ('р', 'r'), ('а', 'a'), ('е', 'ji'), ('т', 'd')]"
1794,"['з', 'а', 'п', 'и', 'р', 'а', 'л', 'с', 'я']","['z', 'a', ""p'"", 'i', 'r', 'a', 'l', ""s'"", 'i']",8,"[('з', 'z'), ('а', 'a'), ('п', ""p'""), ('и', 'i'), ('р', 'r'), ('а', 'a'), ('л', 'l'), ('с', ""s'""), ('я', 'i')]"
1795,"['з', 'а', 'п', 'и', 'с', 'а', 'т', 'ь']","['z', 'a', ""p'"", 'i', 's', 'a', ""t'""]",8,"[('з', 'z'), ('а', 'a'), ('п', ""p'""), ('и', 'i'), ('с', 's'), ('а', 'a'), ('т', ""t'""), ('ь', '-')]"
1796,"['з', 'а', 'п', 'и', 'с', 'и']","['z', 'a', ""p'"", 'i', ""s'"", 'i']",2,"[('з', 'z'), ('а', 'a'), ('п', ""p'""), ('и', 'i'), ('с', ""s'""), ('и', 'i')]"
1797,"['з', 'а', 'п', 'и', 'с', 'к', 'у']","['z', 'a', ""p'"", 'i', 's', 'k', 'u']",3,"[('з', 'z'), ('а', 'a'), ('п', ""p'""), ('и', 'i'), ('с', 's'), ('к', 'k'), ('у', 'u')]"
1798,"['з', 'а', 'п', 'и', 'с', 'н', 'о', 'й']","['z', 'a', ""p'"", 'i', 's', 'n', 'o', 'j']",3,"[('з', 'z'), ('а', 'a'), ('п', ""p'""), ('и', 'i'), ('с', 's'), ('н', 'n'), ('о', 'o'), ('й', 'j')]"
1799,"['з', 'а', 'п', 'и', 'с', 'н', 'ы', 'х']","['z', 'a', ""p'"", 'i', 's', 'n', 'y', 'h']",3,"[('з', 'z'), ('а', 'a'), ('п', ""p'""), ('и', 'i'), ('с', 's'), ('н', 'n'), ('ы', 'y'), ('х', 'h')]"
1800,"['з', 'а', 'п', 'и', 'с', 'ы', 'в', 'а', 'т', 'ь']","['z', 'a', ""p'"", 'i', 's', 'y', 'v', 'a', ""t'""]",8,"[('з', 'z'), ('а', 'a'), ('п', ""p'""), ('и', 'i'), ('с', 's'), ('ы', 'y'), ('в', 'v'), ('а', 'a'), ('т', ""t'""), ('ь', '-')]"
1801,"['з', 'а', 'п', 'л', 'а', 'т', 'и', 'т']","['z', 'a', 'p', 'l', 'a', ""t'"", 'i', 't']",8,"[('з', 'z'), ('а', 'a'), ('п', 'p'), ('л', 'l'), ('а', 'a'), ('т', ""t'""), ('и', 'i'), ('т', 't')]"
1802,"['з', 'а', 'п', 'л', 'а', 'т', 'и', 'т', 'ь']","['z', 'a', 'p', 'l', 'a', ""t'"", 'i', ""t'""]",13,"[('з', 'z'), ('а', 'a'), ('п', 'p'), ('л', 'l'), ('а', 'a'), ('т', ""t'""), ('и', 'i'), ('т', ""t'""), ('ь', '-')]"
1803,"['з', 'а', 'п', 'л', 'ы', 'в', 'ы']","['z', 'a', 'p', 'l', 'y', 'v', 'y']",3,"[('з', 'z'), ('а', 'a'), ('п', 'p'), ('л', 'l'), ('ы', 'y'), ('в', 'v'), ('ы', 'y')]"
1804,"['з', 'а', 'п', 'о', 'л', 'н', 'е', 'н']","['z', 'a', 'p', 'o', 'l', ""n'"", 'i', 'n']",3,"[('з', 'z'), ('а', 'a'), ('п', 'p'), ('о', 'o'), ('л', 'l'), ('н', ""n'""), ('е', 'i'), ('н', 'n')]"
1805,"['з', 'а', 'п', 'о', 'м', 'и', 'н', 'а', 'е', 'т', 'с', 'я']","['z', 'a', 'p', 'a', ""m'"", 'i', 'n', 'a', 'j', 'i', 'c', 'a']",3,"[('з', 'z'), ('а', 'a'), ('п', 'p'), ('о', 'a'), ('м', ""m'""), ('и', 'i'), ('н', 'n'), ('а', 'a'), ('е', 'ji'), ('т', '-'), ('с', 'c'), ('я', 'a')]"
1806,"['з', 'а', 'п', 'о', 'м', 'н', 'и', 'л']","['z', 'a', 'p', 'o', 'm', ""n'"", 'i', 'l']",3,"[('з', 'z'), ('а', 'a'), ('п', 'p'), ('о', 'o'), ('м', 'm'), ('н', ""n'""), ('и', 'i'), ('л', 'l')]"
1807,"['з', 'а', 'п', 'о', 'м', 'н', 'и', 'л', 'о', 'с', 'ь']","['z', 'a', 'p', 'o', 'm', ""n'"", 'i', 'l', 'a', ""s'""]",3,"[('з', 'z'), ('а', 'a'), ('п', 'p'), ('о', 'o'), ('м', 'm'), ('н', ""n'""), ('и', 'i'), ('л', 'l'), ('о', 'a'), ('с', ""s'""), ('ь', '-')]"
1808,"['з', 'а', 'п', 'о', 'м', 'н', 'и', 'т', 'ь']","['z', 'a', 'p', 'o', 'm', ""n'"", 'i', ""t'""]",8,"[('з', 'z'), ('а', 'a'), ('п', 'p'), ('о', 'o'), ('м', 'm'), ('н', ""n'""), ('и', 'i'), ('т', ""t'""), ('ь', '-')]"
1809,"['з', 'а', 'п', 'р', 'е', 'щ', 'а', 'ю', 'т']","['z', 'a', 'p', ""r'"", 'i', 'sc', 'a', 'j', 'u', 't']",14,"[('з', 'z'), ('а', 'a'), ('п', 'p'), ('р', ""r'""), ('е', 'i'), ('щ', 'sc'), ('а', 'a'), ('ю', 'ju'), ('т', 't')]"
1810,"['з', 'а', 'п', 'р', 'у', 'д', 'ы']","['z', 'a', 'p', 'r', 'u', 'd', 'y']",3,"[('з', 'z'), ('а', 'a'), ('п', 'p'), ('р', 'r'), ('у', 'u'), ('д', 'd'), ('ы', 'y')]"
1811,"['з', 'а', 'п', 'у', 'с', 'т', 'е', 'н', 'и', 'е']","['z', 'a', 'p', 'u', ""s'"", ""t'"", 'e', ""n'"", 'i', 'j', 'i']",3,"[('з', 'z'), ('а', 'a'), ('п', 'p'), ('у', 'u'), ('с', ""s'""), ('т', ""t'""), ('е', 'e'), ('н', ""n'""), ('и', 'i'), ('е', 'ji')]"
1812,"['з', 'а', 'р', 'а', 'ж', 'е', 'н', 'н', 'ы', 'е']","['z', 'a', 'r', 'a', 'zh', 'o', 'n', 'y', 'j', 'i']",3,"[('з', 'z'), ('а', 'a'), ('р', 'r'), ('а', 'a'), ('ж', 'zh'), ('е', 'o'), ('н', 'n'), ('н', '-'), ('ы', 'y'), ('е', 'ji')]"
1813,"['з', 'а', 'р', 'а', 'н', 'е', 'е']","['z', 'a', 'r', 'a', ""n'"", 'i', 'j', 'i']",8,"[('з', 'z'), ('а', 'a'), ('р', 'r'), ('а', 'a'), ('н', ""n'""), ('е', 'i'), ('е', 'ji')]"
1814,"['з', 'а', 'р', 'о', 'з', 'о', 'в', 'е', 'в', 'ш', 'и', 'м', 'и']","['z', 'a', 'r', 'a', 'z', 'a', ""v'"", 'e', 'f', 'sh', 'y', ""m'"", 'i']",3,"[('з', 'z'), ('а', 'a'), ('р', 'r'), ('о', 'a'), ('з', 'z'), ('о', 'a'), ('в', ""v'""), ('е', 'e'), ('в', 'f'), ('ш', 'sh'), ('и', 'y'), ('м', ""m'""), ('и', 'i')]"
1815,"['з', 'а', 'р', 'ы', 'д', 'а', 'л', 'а']","['z', 'a', 'r', 'y', 'd', 'a', 'l', 'a']",1,"[('з', 'z'), ('а', 'a'), ('р', 'r'), ('ы', 'y'), ('д', 'd'), ('а', 'a'), ('л', 'l'), ('а', 'a')]"
1816,"['з', 'а', 'с', 'и', 'я', 'л', 'и']","['z', 'a', ""s'"", 'i', 'j', 'a', ""l'"", 'i']",3,"[('з', 'z'), ('а', 'a'), ('с', ""s'""), ('и', 'i'), ('я', 'ja'), ('л', ""l'""), ('и', 'i')]"
1817,"['з', 'а', 'с', 'к', 'о', 'ч', 'и', 'л']","['z', 'a', 's', 'k', 'a', 'ch', 'i', 'l']",3,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('к', 'k'), ('о', 'a'), ('ч', 'ch'), ('и', 'i'), ('л', 'l')]"
1818,"['з', 'а', 'с', 'л', 'о', 'н', 'и', 'л']","['z', 'a', 's', 'l', 'a', ""n'"", 'i', 'l']",8,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('л', 'l'), ('о', 'a'), ('н', ""n'""), ('и', 'i'), ('л', 'l')]"
1819,"['з', 'а', 'с', 'л', 'у', 'ж', 'и', 'л']","['z', 'a', 's', 'l', 'u', 'zh', 'y', 'l']",14,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('л', 'l'), ('у', 'u'), ('ж', 'zh'), ('и', 'y'), ('л', 'l')]"
1820,"['з', 'а', 'с', 'л', 'у', 'ж', 'и', 'л', 'и']","['z', 'a', 's', 'l', 'u', 'zh', 'y', ""l'"", 'i']",3,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('л', 'l'), ('у', 'u'), ('ж', 'zh'), ('и', 'y'), ('л', ""l'""), ('и', 'i')]"
1821,"['з', 'а', 'с', 'м', 'е', 'я', 'в', 'ш', 'и', 'с', 'ь']","['z', 'a', 's', ""m'"", 'i', 'j', 'a', 'f', 'sh', 'y', ""s'""]",3,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('м', ""m'""), ('е', 'i'), ('я', 'ja'), ('в', 'f'), ('ш', 'sh'), ('и', 'y'), ('с', ""s'""), ('ь', '-')]"
1822,"['з', 'а', 'с', 'м', 'е', 'я', 'л', 'а', 'с', 'ь']","['z', 'a', 's', ""m'"", 'i', 'j', 'a', 'l', 'a', ""s'""]",9,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('м', ""m'""), ('е', 'i'), ('я', 'ja'), ('л', 'l'), ('а', 'a'), ('с', ""s'""), ('ь', '-')]"
1823,"['з', 'а', 'с', 'м', 'е', 'я', 'л', 'с', 'я']","['z', 'a', 's', ""m'"", 'i', 'j', 'a', 'l', ""s'"", 'a']",3,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('м', ""m'""), ('е', 'i'), ('я', 'ja'), ('л', 'l'), ('с', ""s'""), ('я', 'a')]"
1824,"['з', 'а', 'с', 'н', 'у', 'л']","['z', 'a', 's', 'n', 'u', 'l']",8,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('н', 'n'), ('у', 'u'), ('л', 'l')]"
1825,"['з', 'а', 'с', 'н', 'у', 'л', 'а']","['z', 'a', 's', 'n', 'u', 'l', 'a']",8,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('н', 'n'), ('у', 'u'), ('л', 'l'), ('а', 'a')]"
1826,"['з', 'а', 'с', 'н', 'у', 'т', 'ь']","['z', 'a', 's', 'n', 'u', ""t'""]",11,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('н', 'n'), ('у', 'u'), ('т', ""t'""), ('ь', '-')]"
1827,"['з', 'а', 'с', 'т', 'а', 'в', 'и', 'л']","['z', 'a', 's', 't', 'a', ""v'"", 'i', 'l']",3,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('в', ""v'""), ('и', 'i'), ('л', 'l')]"
1828,"['з', 'а', 'с', 'т', 'а', 'в', 'и', 'л', 'а']","['z', 'a', 's', 't', 'a', ""v'"", 'i', 'l', 'a']",3,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('в', ""v'""), ('и', 'i'), ('л', 'l'), ('а', 'a')]"
1829,"['з', 'а', 'с', 'т', 'а', 'в', 'и', 'л', 'о']","['z', 'a', 's', 't', 'a', ""v'"", 'i', 'l', 'a']",3,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('в', ""v'""), ('и', 'i'), ('л', 'l'), ('о', 'a')]"
1830,"['з', 'а', 'с', 'т', 'а', 'в', 'ы']","['z', 'a', 's', 't', 'a', 'v', 'y']",11,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('в', 'v'), ('ы', 'y')]"
1831,"['з', 'а', 'с', 'т', 'а', 'в', 'я', 'т']","['z', 'a', 's', 't', 'a', ""v'"", 'i', 't']",8,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('в', ""v'""), ('я', 'i'), ('т', 't')]"
1832,"['з', 'а', 'с', 'т', 'е', 'н', 'ч', 'и', 'в', 'ы', 'й']","['z', 'a', ""s'"", ""t'"", 'e', ""n'"", 'ch', 'i', 'v', 'y', 'j']",15,"[('з', 'z'), ('а', 'a'), ('с', ""s'""), ('т', ""t'""), ('е', 'e'), ('н', ""n'""), ('ч', 'ch'), ('и', 'i'), ('в', 'v'), ('ы', 'y'), ('й', 'j')]"
1833,"['з', 'а', 'с', 'т', 'р', 'я', 'л', 'а']","['z', 'a', 's', 't', ""r'"", 'a', 'l', 'a']",6,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('т', 't'), ('р', ""r'""), ('я', 'a'), ('л', 'l'), ('а', 'a')]"
1834,"['з', 'а', 'с', 'т', 'ы', 'в', 'ш', 'е', 'м']","['z', 'a', 's', 't', 'y', 'f', 'sh', 'y', 'm']",3,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('т', 't'), ('ы', 'y'), ('в', 'f'), ('ш', 'sh'), ('е', 'y'), ('м', 'm')]"
1835,"['з', 'а', 'с', 'т', 'ы', 'л']","['z', 'a', 's', 't', 'y', 'l']",3,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('т', 't'), ('ы', 'y'), ('л', 'l')]"
1836,"['з', 'а', 'с', 'т', 'ы', 'л', 'и']","['z', 'a', 's', 't', 'y', ""l'"", 'i']",3,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('т', 't'), ('ы', 'y'), ('л', ""l'""), ('и', 'i')]"
1837,"['з', 'а', 'с', 'у', 'л', 'и', 'ч']","['z', 'a', 's', 'u', ""l'"", 'i', 'ch']",3,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('у', 'u'), ('л', ""l'""), ('и', 'i'), ('ч', 'ch')]"
1838,"['з', 'а', 'с', 'у', 'н', 'у', 'в']","['z', 'a', 's', 'u', 'n', 'u', 'f']",3,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('у', 'u'), ('н', 'n'), ('у', 'u'), ('в', 'f')]"
1839,"['з', 'а', 'с', 'у', 'н', 'у', 'л']","['z', 'a', 's', 'u', 'n', 'u', 'l']",23,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('у', 'u'), ('н', 'n'), ('у', 'u'), ('л', 'l')]"
1840,"['з', 'а', 'с', 'у', 'ч', 'е', 'н', 'н', 'ы', 'м', 'и']","['z', 'a', 's', 'u', 'ch', 'i', 'n', 'y', ""m'"", 'i']",3,"[('з', 'z'), ('а', 'a'), ('с', 's'), ('у', 'u'), ('ч', 'ch'), ('е', 'i'), ('н', 'n'), ('н', '-'), ('ы', 'y'), ('м', ""m'""), ('и', 'i')]"
1841,"['з', 'а', 'т', 'а', 'щ', 'и', 'л']","['z', 'a', 't', 'a', 'sc', 'i', 'l']",3,"[('з', 'z'), ('а', 'a'), ('т', 't'), ('а', 'a'), ('щ', 'sc'), ('и', 'i'), ('л', 'l')]"
1842,"['з', 'а', 'т', 'е', 'м']","['z', 'a', ""t'"", 'e', 'm']",38,"[('з', 'z'), ('а', 'a'), ('т', ""t'""), ('е', 'e'), ('м', 'm')]"
1843,"['з', 'а', 'т', 'е', 'я', 'л']","['z', 'a', ""t'"", 'e', 'i', 'l']",11,"[('з', 'z'), ('а', 'a'), ('т', ""t'""), ('е', 'e'), ('я', 'i'), ('л', 'l')]"
1844,"['з', 'а', 'т', 'е', 'я', 'л', 'а']","['z', 'a', ""t'"", 'e', 'i', 'l', 'a']",14,"[('з', 'z'), ('а', 'a'), ('т', ""t'""), ('е', 'e'), ('я', 'i'), ('л', 'l'), ('а', 'a')]"
1845,"['з', 'а', 'т', 'к', 'н', 'у', 'т', 'ь']","['z', 'a', 't', 'k', 'n', 'u', ""t'""]",8,"[('з', 'z'), ('а', 'a'), ('т', 't'), ('к', 'k'), ('н', 'n'), ('у', 'u'), ('т', ""t'""), ('ь', '-')]"
1846,"['з', 'а', 'т', 'о', 'п', 'а', 'л']","['z', 'a', 't', 'o', 'p', 'a', 'l']",8,"[('з', 'z'), ('а', 'a'), ('т', 't'), ('о', 'o'), ('п', 'p'), ('а', 'a'), ('л', 'l')]"
1847,"['з', 'а', 'т', 'о', 'р', 'о', 'п', 'и', 'л', 'с', 'я']","['z', 'a', 't', 'a', 'r', 'a', ""p'"", 'i', 'l', ""s'"", 'a']",3,"[('з', 'z'), ('а', 'a'), ('т', 't'), ('о', 'a'), ('р', 'r'), ('о', 'a'), ('п', ""p'""), ('и', 'i'), ('л', 'l'), ('с', ""s'""), ('я', 'a')]"
1848,"['з', 'а', 'т', 'р', 'е', 'щ', 'а', 'л', 'а']","['z', 'a', 't', ""r'"", 'i', 'sc', 'a', 'l', 'a']",8,"[('з', 'z'), ('а', 'a'), ('т', 't'), ('р', ""r'""), ('е', 'i'), ('щ', 'sc'), ('а', 'a'), ('л', 'l'), ('а', 'a')]"
1849,"['з', 'а', 'т', 'ы', 'л', 'о', 'к']","['z', 'a', 't', 'y', 'l', 'a', 'k']",16,"[('з', 'z'), ('а', 'a'), ('т', 't'), ('ы', 'y'), ('л', 'l'), ('о', 'a'), ('к', 'k')]"
1850,"['з', 'а', 'т', 'я', 'н', 'у', 'л', 'а']","['z', 'a', ""t'"", 'i', 'n', 'u', 'l', 'a']",3,"[('з', 'z'), ('а', 'a'), ('т', ""t'""), ('я', 'i'), ('н', 'n'), ('у', 'u'), ('л', 'l'), ('а', 'a')]"
1851,"['з', 'а', 'х', 'л', 'о', 'п', 'н', 'у', 'л']","['z', 'a', 'h', 'l', 'o', 'p', 'n', 'u', 'l']",8,"[('з', 'z'), ('а', 'a'), ('х', 'h'), ('л', 'l'), ('о', 'o'), ('п', 'p'), ('н', 'n'), ('у', 'u'), ('л', 'l')]"
1852,"['з', 'а', 'х', 'о', 'д', 'и', 'л']","['z', 'a', 'h', 'a', ""d'"", 'i', 'l']",14,"[('з', 'z'), ('а', 'a'), ('х', 'h'), ('о', 'a'), ('д', ""d'""), ('и', 'i'), ('л', 'l')]"
1853,"['з', 'а', 'х', 'о', 'д', 'и', 'т']","['z', 'a', 'h', 'o', ""d'"", 'i', 't']",3,"[('з', 'z'), ('а', 'a'), ('х', 'h'), ('о', 'o'), ('д', ""d'""), ('и', 'i'), ('т', 't')]"
1854,"['з', 'а', 'х', 'о', 'д', 'и', 'т', 'ь']","['z', 'a', 'h', 'a', ""d'"", 'i', ""t'""]",3,"[('з', 'z'), ('а', 'a'), ('х', 'h'), ('о', 'a'), ('д', ""d'""), ('и', 'i'), ('т', ""t'""), ('ь', '-')]"
1855,"['з', 'а', 'х', 'о', 'т', 'е', 'л', 'о', 'с', 'ь']","['z', 'a', 'h', 'a', ""t'"", 'e', 'l', 'a', ""s'""]",17,"[('з', 'z'), ('а', 'a'), ('х', 'h'), ('о', 'a'), ('т', ""t'""), ('е', 'e'), ('л', 'l'), ('о', 'a'), ('с', ""s'""), ('ь', '-')]"
1856,"['з', 'а', 'х', 'о', 'т', 'е', 'т', 'ь']","['z', 'a', 'h', 'a', ""t'"", 'e', ""t'""]",8,"[('з', 'z'), ('а', 'a'), ('х', 'h'), ('о', 'a'), ('т', ""t'""), ('е', 'e'), ('т', ""t'""), ('ь', '-')]"
1857,"['з', 'а', 'х', 'о', 'ч', 'е', 'т']","['z', 'a', 'h', 'o', 'ch', 'i', 't']",20,"[('з', 'z'), ('а', 'a'), ('х', 'h'), ('о', 'o'), ('ч', 'ch'), ('е', 'i'), ('т', 't')]"
1858,"['з', 'а', 'ц', 'е', 'п', 'и', 'л', 'с', 'я']","['z', 'a', 'c', 'y', ""p'"", 'i', 'l', ""s'"", 'i']",8,"[('з', 'z'), ('а', 'a'), ('ц', 'c'), ('е', 'y'), ('п', ""p'""), ('и', 'i'), ('л', 'l'), ('с', ""s'""), ('я', 'i')]"
1859,"['з', 'а', 'ц', 'е', 'п', 'к', 'и']","['z', 'a', 'c', 'e', 'p', ""k'"", 'i']",19,"[('з', 'z'), ('а', 'a'), ('ц', 'c'), ('е', 'e'), ('п', 'p'), ('к', ""k'""), ('и', 'i')]"
1860,"['з', 'а', 'ч', 'е', 'м']","['z', 'a', 'ch', 'e', 'm']",101,"[('з', 'z'), ('а', 'a'), ('ч', 'ch'), ('е', 'e'), ('м', 'm')]"
1861,"['з', 'а', 'ч', 'е', 'м', 'т', 'о']","['z', 'a', 'ch', 'e', 'm', 't', 'a']",9,"[('з', 'z'), ('а', 'a'), ('ч', 'ch'), ('е', 'e'), ('м', 'm'), ('т', 't'), ('о', 'a')]"
1862,"['з', 'а', 'ч', 'е', 'т', 'а', 'м']","['z', 'a', 'ch', 'o', 't', 'a', 'm']",7,"[('з', 'z'), ('а', 'a'), ('ч', 'ch'), ('е', 'o'), ('т', 't'), ('а', 'a'), ('м', 'm')]"
1863,"['з', 'а', 'ш', 'е', 'л']","['z', 'a', 'sh', 'o', 'l']",11,"[('з', 'z'), ('а', 'a'), ('ш', 'sh'), ('е', 'o'), ('л', 'l')]"
1864,"['з', 'а', 'ш', 'е', 'л', 'е', 'с', 'т', 'е', 'л', 'а']","['z', 'a', 'sh', 'y', ""l'"", 'i', ""s'"", ""t'"", 'e', 'l', 'a']",8,"[('з', 'z'), ('а', 'a'), ('ш', 'sh'), ('е', 'y'), ('л', ""l'""), ('е', 'i'), ('с', ""s'""), ('т', ""t'""), ('е', 'e'), ('л', 'l'), ('а', 'a')]"
1865,"['з', 'а', 'ш', 'е', 'п', 'т', 'а', 'л', 'а']","['z', 'a', 'sh', 'y', 'p', 't', 'a', 'l', 'a']",8,"[('з', 'z'), ('а', 'a'), ('ш', 'sh'), ('е', 'y'), ('п', 'p'), ('т', 't'), ('а', 'a'), ('л', 'l'), ('а', 'a')]"
1866,"['з', 'а', 'ш', 'у', 'м', 'е', 'л', 'и']","['z', 'a', 'sh', 'u', ""m'"", 'e', ""l'"", 'i']",7,"[('з', 'z'), ('а', 'a'), ('ш', 'sh'), ('у', 'u'), ('м', ""m'""), ('е', 'e'), ('л', ""l'""), ('и', 'i')]"
1867,"['з', 'а', 'ш', 'у', 'р', 'ш', 'а', 'л', 'а']","['z', 'a', 'sh', 'u', 'r', 'sh', 'a', 'l', 'a']",8,"[('з', 'z'), ('а', 'a'), ('ш', 'sh'), ('у', 'u'), ('р', 'r'), ('ш', 'sh'), ('а', 'a'), ('л', 'l'), ('а', 'a')]"
1868,"['з', 'в', 'а', 'л']","['z', 'v', 'a', 'l']",11,"[('з', 'z'), ('в', 'v'), ('а', 'a'), ('л', 'l')]"
1869,"['з', 'в', 'а', 'л', 'и']","['z', 'v', 'a', ""l'"", 'i']",3,"[('з', 'z'), ('в', 'v'), ('а', 'a'), ('л', ""l'""), ('и', 'i')]"
1870,"['з', 'в', 'а', 'т', 'ь']","['z', 'v', 'a', ""t'""]",3,"[('з', 'z'), ('в', 'v'), ('а', 'a'), ('т', ""t'""), ('ь', '-')]"
1871,"['з', 'в', 'е', 'н', 'и', 'г', 'о', 'р', 'о', 'д', 'с', 'к', 'о', 'й']","['z', ""v'"", 'i', ""n'"", 'i', 'g', 'a', 'r', 'o', 'c', 'k', 'a', 'j']",3,"[('з', 'z'), ('в', ""v'""), ('е', 'i'), ('н', ""n'""), ('и', 'i'), ('г', 'g'), ('о', 'a'), ('р', 'r'), ('о', 'o'), ('д', '-'), ('с', 'c'), ('к', 'k'), ('о', 'a'), ('й', 'j')]"
1872,"['з', 'в', 'о', 'н', 'и', 'л']","['z', 'v', 'a', ""n'"", 'i', 'l']",19,"[('з', 'z'), ('в', 'v'), ('о', 'a'), ('н', ""n'""), ('и', 'i'), ('л', 'l')]"
1873,"['з', 'в', 'о', 'н', 'и', 'т']","['z', 'v', 'a', ""n'"", 'i', 't']",11,"[('з', 'z'), ('в', 'v'), ('о', 'a'), ('н', ""n'""), ('и', 'i'), ('т', 't')]"
1874,"['з', 'в', 'о', 'н', 'и', 'т', 'ь']","['z', 'v', 'a', ""n'"", 'i', ""t'""]",9,"[('з', 'z'), ('в', 'v'), ('о', 'a'), ('н', ""n'""), ('и', 'i'), ('т', ""t'""), ('ь', '-')]"
1875,"['з', 'в', 'о', 'н', 'и', 'ш', 'ь']","['z', 'v', 'a', ""n'"", 'i', 'sh']",6,"[('з', 'z'), ('в', 'v'), ('о', 'a'), ('н', ""n'""), ('и', 'i'), ('ш', 'sh'), ('ь', '-')]"
1876,"['з', 'в', 'о', 'н', 'о', 'к']","['z', 'v', 'a', 'n', 'o', 'k']",27,"[('з', 'z'), ('в', 'v'), ('о', 'a'), ('н', 'n'), ('о', 'o'), ('к', 'k')]"
1877,"['з', 'в', 'о', 'н', 'я', 'т']","['z', 'v', 'a', ""n'"", 'a', 't']",8,"[('з', 'z'), ('в', 'v'), ('о', 'a'), ('н', ""n'""), ('я', 'a'), ('т', 't')]"
1878,"['з', 'в', 'у', 'к', 'а']","['z', 'v', 'u', 'k', 'a']",8,"[('з', 'z'), ('в', 'v'), ('у', 'u'), ('к', 'k'), ('а', 'a')]"
1879,"['з', 'в', 'у', 'к', 'а', 'м']","['z', 'v', 'u', 'k', 'a', 'm']",7,"[('з', 'z'), ('в', 'v'), ('у', 'u'), ('к', 'k'), ('а', 'a'), ('м', 'm')]"
1880,"['з', 'в', 'у', 'ч', 'и', 'т']","['z', 'v', 'u', 'ch', 'i', 't']",17,"[('з', 'z'), ('в', 'v'), ('у', 'u'), ('ч', 'ch'), ('и', 'i'), ('т', 't')]"
1881,"['з', 'в', 'у', 'ч', 'н', 'о']","['z', 'v', 'u', 'ch', 'n', 'a']",3,"[('з', 'z'), ('в', 'v'), ('у', 'u'), ('ч', 'ch'), ('н', 'n'), ('о', 'a')]"
1882,"['з', 'д', 'е', 'с', 'ь']","[""z'"", ""d'"", 'e', ""s'""]",87,"[('з', ""z'""), ('д', ""d'""), ('е', 'e'), ('с', ""s'""), ('ь', '-')]"
1883,"['з', 'д', 'о', 'р', 'о', 'в', 'а', 'е', 'т', 'с', 'я']","['z', 'd', 'a', 'r', 'o', 'v', 'a', 'j', 'i', 'c', 'a']",3,"[('з', 'z'), ('д', 'd'), ('о', 'a'), ('р', 'r'), ('о', 'o'), ('в', 'v'), ('а', 'a'), ('е', 'ji'), ('т', '-'), ('с', 'c'), ('я', 'a')]"
1884,"['з', 'д', 'о', 'р', 'о', 'в', 'а', 'л', 'и', 'с', 'ь']","['z', 'd', 'a', 'r', 'o', 'v', 'a', ""l'"", 'i', ""s'""]",16,"[('з', 'z'), ('д', 'd'), ('о', 'a'), ('р', 'r'), ('о', 'o'), ('в', 'v'), ('а', 'a'), ('л', ""l'""), ('и', 'i'), ('с', ""s'""), ('ь', '-')]"
1885,"['з', 'д', 'о', 'р', 'о', 'в', 'а', 'л', 'с', 'я']","['z', 'd', 'a', 'r', 'o', 'v', 'a', 'l', ""s'"", 'i']",7,"[('з', 'z'), ('д', 'd'), ('о', 'a'), ('р', 'r'), ('о', 'o'), ('в', 'v'), ('а', 'a'), ('л', 'l'), ('с', ""s'""), ('я', 'i')]"
