Слово,Слово с делением на морфемы,Орфоэпическая транскрипция,Реальное произнесение,Количество словоупотреблений,Файлы
дочь,*дочь,* d o0 ch,* d o0 ch,26,"cta0018,ctb0648,ctb1787,ctb1788,ctc1203,ktb1787,ktb1788,kta0018,ktb0648,ktc1203,ota0018,otb0648,uta0295,utb0648,utc1203,ata0018,atb0648,atb1787,atb1788,mta0018,mtb0648"
дошел,~до*ш+е+л,~ d a1 * sh + o0 + l,~ d a1 * sh + o0 + l,3,"ctb0892,ktb0892,atb0892"
драгоценный,*драг=о*цен+н/ый,* d r a2 g = a1 * c e0 n + n / y4 j,* d r a2 g = a1 * c e0 + n / y4 j,8,"atb0018,mtb0018"
драгоценным,*драг=о*цен+н/ым,* d r a2 g = a1 * c e0 + n / n y4 m,* d r y1 g = a1 * c e0 + n / n y4,8,"ctb0022,otb0022"
драку,*дра+к/у,* d r a0 + k / u4,* d r a0 + k / u4,16,"ctb0505,ctb0510,gtb0505,gtb0510,ktb0505,ktb0510,otb0505,otb0510,stb0505,stb0510,utb0505,utb0510,atb0505,atb0510,mtb0505,mtb0510"
дрался,*др+а+л^ся,* d r + a0 + l ^ s' a4,* d r + a0 + l ^ s' e4,3,kta0927
драться,*дра+ть^ся,* d r a0 ^ c a4,* d r a0 ^ c a4,8,atb0466
древним,*древн/им,* d r' e0 v n' / i4 m,* d r' e0 v n' / i4 m,1,cta1152
древняя,*древн/яя,* d r' e0 v n' / i4 j a4,* d r' e0 v n' / i4 i4,3,"kta1041,ata1041"
дремлет,*дремл/ет,* d r' e0 m l' / i4 t,* d r' e0 m l' / e4 t,3,"cta0946,kta0946"
дремоту,*дрем+от/у,* d r' i1 m + o0 t / u4,* d r' e1 m + o0 t / u4,8,"cta0146,gta0146"
дрожат,*дрож/ат,* d r a1 zh / a0 t,* d r a1 sh / a0 t,16,otb0287
дрожащим,*дрож+ащ/им,* d r a1 zh + a0 sc / i4 m,* d r a1 zh + a0 sc / i4 m,8,"cta0073,kta0073,ota0073,uta0073,ata0073,mta0073"
друг,*друг,* d r u0 k,* d r u0 g,75,ctb1079
друга,*друг/а,* d r u0 g / a4,* d r u0 g / a4,51,"cta0905,ctb0420,ctb0588,ctb1161,ctb1235,ctb1267,ctb1739,gtb0420,gtb0588,gte0191,kta0905,ktb1161,ktb1235,ktb1267,kta0110,ktb0588,otb0588,stb0420,stb0588,ste0191,ata0110,atb0420,atb0588,atd0143,atb1161,atb1235,atb1267,atb1739,mtb0420"
другая,*друг/ая,* d r u1 g / a0 j a4,* d r u1 g / a0 e4,9,"gte0292,kta0738,otd0147,ste0292"
друге,*друг/е,* d r u0 g' / i4,* d r u0 g' / e4,3,ctb1358
другие,*друг/ие,* d r u1 g' / i0 - i4,* d r u1 g' / i0,53,mta0258
другими,*друг/ими,* d r u1 g' / i0 m' i4,* d r u1 g' / i0 m' i4,3,"ctb2041,ktb2041,atb2041"
других,*друг/их,* d r u1 g' / i0 h,* d r u1 g' / i0 h,32,"cta0526,cta0913,ctc1320,gte0018,gte0364,gte0368,kta0526,kta0913,ktc1320,otd0011,otd0066,otd0130,otd0168,otd0175,otd0216,otd0235,otd0262,otd0329,ste0018,ste0364,ste0368,utc1320,atd0011,atd0066,atd0130,atd0168,atd0175,atd0216,atd0235,atd0262,ata0526"
другого,*друг/ого,* d r u1 g / o0 v a4,* d r u1 g / o0 v a4,18,"cta0764,cta1026,cta1034,ctc0628,ktb2130,ktc0628,utc0628,ata0764,ata1026,ata1034,atb2130"
другое,*друг/ое,* d r u1 g / o0 - i4,* d r u1 g / o0 e4,26,"gta0046,sta0046"
другой,*друг/ой,* d r u1 g / o0 j,* d r u1 g / o0,126,"gtb0705,kta0901,kta0902,ktb0178,ktb0705,ktc0282,otb0705,stb0487,utc0282,utc0893,ata1057,mtb0178"
другом,*друг/ом,* d r u0 g / a4 m,* d r u0 g / a4,25,utc0602
другом,*друг/ом,* d r u1 g / o0 m,* d r u1 g / o0 m,25,"cta0270,ctb0808,ctc0286,gta0270,ktb0808,kta0270,ktc0286,ota0270,otd0226,otd0257,sta0270,uta0270,utc0286,atd0226,atd0257,atb0808,mta0270"
другому,*друг/ому,* d r u1 g / o0 m u4,* d r u1 g / o0 m u4,8,"cta0348,gta0348,kta0348,ota0348,sta0348,uta0348,ata0348,mta0348"
другу,*друг/у,* d r u0 g / u4,* d r u0 g / u4,28,"cta0215,ctb1250,ctb1258,ctb1563,gta0215,gtb0498,gte0335,ktb1250,ktb1258,ktb1563,kta0215,ktb0498,ota0215,otb0498,otd0037,sta0215,stb0498,ste0335,uta0215,utb0498,ata0215,atb0498,atd0037,atb1250,atb1258,atb1563,mta0215,mtb0498"
другую,*друг/ую,* d r u1 g / u0 j u4,* d r u1 g / u0,35,mtb0094
дружат,*друж/ат,* d r u0 zh / a4 t,* d r u0 zh / a4 t,3,atb1390
дружбу,*друж+б/у,* d r u0 zh + b / u4,* d r u0 zh + b / u4,3,"ctb1335,ktb1335,atb1335"
дружелюбие,*друж=е*люб+и/е,* d r u1 zh = y1 * l' u0 b' + i4 - / i4,* d r u1 zh = y1 * l' u0 b' + e4 /,8,gta0221
дружелюбно,*друж=е*люб+н+о,* d r u1 zh = y1 * l' u0 b + n + a4,* d r u1 zh = y1 * l' u0 b + n + a4,8,"cta0219,kta0219,ota0219,sta0219,uta0219,mta0219"
дружеский,*друж+еск/ий,* d r u0 zh + y4 s k' / i4 j,* d r u0 zh + y4 s k' / e4,8,gta0137
дружишь,*друж/ишь,* d r u0 zh / y4 sh,* d r u0 zh / y4 sh,3,"ctb0815,ktb0815,atb0815"
дружно,*друж+н+о,* d r u0 zh + n + a4,* d r u0 zh + n + a4,6,"ktc1013,utc1013,ata1053"
друзей,*друз/ей,* d r u1 z' / e0 j,* d r u1 z' / e0,28,ktb1224
друзьям,*друзь/ям,* d r u1 z' / j a0 m,* d r u1 s' / j a0 m,5,atb0993
друзьями,*друзь/ями,* d r u1 z' / j a0 m' i4,* d r u1 z' / j a0 m' e4,6,ctb2126
дрянь,*дрянь,* d r' a0 n',* d r' a0 n',6,"cta1096,cta1099,kta1096,kta1099,ata1096,ata1099"
дубленой,*дублен/ой,* d u1 b l' o0 n / a4 j,* d u1 b l' o0 n / e4 j,3,"cta1069,kta1069"
дубовый,*дуб+ов/ый,* d u1 b + o0 v / y4 j,* d u1 b + o0 v / y4,8,"ota0096,sta0096"
дубовых,*дуб+ов/ых,* d u1 b + o0 v / y4 h,* d u1 b + o0 v / y4 h,3,"cta0620,kta0620,ata0620"
дужек,*дуж+ек,* d u0 zh + y4 k,* d u0 sh + e4 k,7,ktb0207
дужки,*дуж+к/и,* d u0 sh + k' / i4,* d u0 sh + k' / e4,17,ctb1386
думает,*дум+а/ет,* d u0 m + a4 / - i4 t,* d u0 m + e4 / e4 t,56,"mtb0167,mtb0269"
думаешь,*дум+а/ешь,* d u0 m + a4 / - i4 sh,* d u0 m + e4 / e4 sh,37,gta0226
думай,*дум+а+й,* d u0 m + a4 + j,* d u0 m + a4 + j,3,"ktb2144,atb2144"
думал,*дум+а+л,* d u0 m + a4 + l,* d o0 m + u4 + l,142,ctb0773
думала,*дум+а+л/а,* d u0 m + a4 + l / a4,* d u0 m + a4 + l / a4,10,"gta0073,ktb1255,ota0073,mta0073"
думали,*дум+а+л/и,* d u0 m + a4 + l' / i4,* d u0 m + a4 + l' / i4,17,"ctb1146,ctb1557,gtb0672,ktb1412,ktb0672,atb1412,mtb0672"
думать,*дум+а/ть,* d u0 m + a4 / t',* d u0 m + a4 / t',42,"ctb0817,gta0152,kta0055,kta0152,otd0050,sta0328,ata0152,ata0328,atd0050,atb0817,mta0055,mta0152,mtb0208"
думаю,*дум+а/ю,* d u0 m + a4 / j u4,* d u0 m + a4 / e4,64,ctc0786
думают,*дум+а/ют,* d u0 m + a4 / j u4 t,* d u0 m + a4 / u4 t,22,"stb0115,atb1358"
думая,*дум+а+я,* d u0 m + a4 + j a4,* d u0 m + a4 + e4,9,atb0889
дурак,*дур+ак,* d u1 r + a0 k,* d u1 r + a0 k,16,"ctb0953,ctb0953,ctc1436,gta0427,ktb0953,ktb0953,kta0427,ktc1436,ota0427,sta0427,uta0427,utc1436,ata0427,atb0953,atb0953,mta0427"
дусю,*дус/ю,* d u0 s' / u4,* d u0 s' / u4,3,"cta0936,kta0936"
дуся,*дус/я,* d u0 s' / a4,* d u0 s' / a4,6,"kta0936,kta0937"
духа,*дух/а,* d u0 h / a4,* d u0 h / a4,3,"cta0793,kta0793,ata0793"
духами,*дух/ами,* d u1 h / a0 m' i4,* d u1 h / a0 m' i4,3,"ctb1563,ktb1563,atb1563"
духов,*дух/ов,* d u1 h / o0 f,* d u1 h / o0 f,16,"cta0116,cta0118,gta0116,gta0118,kta0116,kta0118,ota0116,ota0118,sta0116,sta0118,uta0116,uta0118,ata0116,ata0118,mta0116,mta0118"
душ,*душ,* d u0 sh,* d u0 sh,3,"ctb1470,ktb1470,atb1470"
душевная,*душ+ев+н/ая,* d u1 sh + e0 v + n / a4 - i4,* d u1 sh + e0 v + n / a4 e4,16,gta0046
душевный,*душ+ев+н/ый,* d u1 sh + e0 v + n / y4 j,* d u1 sh + e0 v + n / e4,8,sta0080
душно,*душ+н+о,* d u0 sh + n + a4,* d u0 sh + n + a4,3,"cta0737,kta0737,ata0737"
душным,*душ+н/ым,* d u0 sh + n / y4 m,* d u0 sh + n / o4 m,3,ata0753
дышал,*дыш+а+л,* d y1 sh + a0 + l,* d y1 sh + a0 + l,3,"ctb1620,ktb1620,atb1620"
дышали,*дыш+а+л/и,* d y1 sh + a0 + l' / i4,* d y1 sh + a0 + l' / e4,8,"gta0153,sta0153,uta0153"
дышать,*дыш+а/ть,* d y1 sh + a0 / t',* d e1 sh + a0 / t',27,"kta0696,ktb0350,stb0350"
дышит,*дыш/ит,* d y0 sh / y4 t,* d y0 sh / y4 t,3,"ctb2071,ktb2071,atb2071"
дяде,*дяд/е,* d' a0 d' / i4,* d' a0 d' / e4,35,"gtb0496,kta1084,utb0158,atb0496,mtb0158"
дядей,*дяд/ей,* d' a0 d' / i4 j,* d' a0 d' / i4 i4,3,"ctb1690,ktb1690"
дяди,*дяд/и,* d' a0 d' / i4,* d' a0 d' / e4,28,"cta1077,atb0174"
дядин,*дяд+ин,* d' a0 d' + i4 n,* d' a0 d' + i4 n,3,"cta1087,kta1087,ata1087"
дядю,*дяд/ю,* d' a0 d' / u4,* d' a0 d' / u4,19,"ctb0270,ctb1398,ctb1675,ctb1976,ctb2079,gtb0270,ktb1398,ktb1675,ktb1976,ktb2079,ktb0270,otb0270,utb0270,atb0270,atb1675,atb1976,atb2079,mtb0270"
дядюшку,*дяд+юшк/у,* d' a0 d' + u4 sh k / u4,* d' a0 d' + e4 sh k / u4,3,kta1095
дядя,*дяд/я,* d' a0 d' / a4,* d a0 d' / a4,171,atb1443
евгеньевна,*евгень+евн/а,* j i1 v g' e0 n' + j i4 v n / a4,* i1 v g' e0 n' + e4 v n / a4,8,cta0155
евгеньевной,*евгень+евн/ой,* j i1 v g' e0 n' + j i4 v n / a4 j,* i1 v' g' e0 n' + i4 v n / e4 j,8,gta0154
его,*е/го,* j i1 / v o0,* i1 v / o0,3,"ota0063,ota0241"
его-то,*е/го-+то,* j / i1 v o0 + t a1,* j / i1 v o0 + t o4,6,ota0021
едет,*ед/ет,* j e0 d' / i4 t,* j e0 d' / i4 t,3,"cta0611,kta0611,ata0611"
единогласно,*един=о*глас+н+о,* j i1 d' i1 n = a1 * g l a0 s + n + a4,* i1 d' i1 n = a1 * g l a0 s + n + a4,3,ktb1811
единого,*един/ого,* j i1 d' i0 n / a4 v a4,* i1 d' i0 n / a4 v a4,9,ata1021
единой,*един/ой,* j i1 d' i0 n / a4 j,* j i1 d' i0 n / y4,3,"ctb1563,ktb1563"
единственная,*един+ств+енн/ая,* j i1 d' i0 n + s t v' + i4 n / a4 j a4,* j i1 d' i0 n + s t v' + e4 n / e4 i4,3,ctb1484
единственное,*един+ств+енн/ое,* j i1 d' i0 n + s t v' + i4 n - / a4 - i4,* i1 d' i0 n + s t' + u4 n / e4,8,mta0267
единственной,*единств+енн/ой,* j i1 d' i0 n s t v' + i4 n - / a4 j,* j i1 d' i0 n s t v' + i4 n / y4,8,"kta0097,sta0097,ata0097"
еду,*ед/у,* j e0 d / u4,* j e0 d / o4,3,ctb2124
едущих,*ед+ущ/их,* j e0 d + u4 sc / i4 h,* i1 e0 d + y4 sc / y4 h,7,mta0271
едят,*ед/ят,* j i1 d' / a0 t,* i1 d' / a0 t,15,mtb0373
её,*е/е,* j i1 / j o0,* j o0 /,4,"gtb0546,gtb0611,gtb0639"
ежедневно,*еже*дн+ев+н+о,* j i1 zh y1 * d' n' + e0 v + n + a4,* i1 zh y1 * d n' + e0 v + n + a4,15,"cta0097,kta0097"
ежедневный,*еж=е*дн+ев+н/ый,* j i1 zh = y1 * d' n' + e0 v + n / y4 j,* j i1 zh = y1 * d n' + e0 v + n / y4,6,"ktb1948,atb1948"
ездил,*езд+и+л,* j e0 z' d' + i4 + l,* j e0 z d' + i4 + l,3,ktb1213
ездили,*езд+и+л/и,* j e0 z' d' + i4 + l' / i4,* j e0 z' d' + i4 + l' / i4,3,"cta0735,kta0735,ata0735"
ездить,*езд+и/ть,* j e0 z' d' + i4 / t',* j e0 z' d' + i4 / t,3,"cta0696,kta0696"
ей,*ей,* j e0 j,* e0,288,"gtb0668,ktb1099,stb0601,stb0728"
ей-богу,*ей-богу,* j e0 j b o0 h u4,* j i0 j b o0 g u4,7,gta0080
еле,*еле,* j e0 l' i4,* j e0 l' e4,8,ctb1668
елена,*елен/а,* j i1 l' e0 n / a4,* j e1 l' e0 n / a4,3,cta1053
елены,*елен/ы,* j i1 l' e0 n / y4,* j e1 l' e0 n / y4,3,ata0898
если,*если,* j e0 s l' i4,* e0 s i4,494,mtb0113
естественно,*естеств+енн+о,* j i1 s' t' e0 s t v' + i4 n n + a4,* j i1 s' t' e0 s t v + y4 n n + a4,19,gta0353
есть,*есть,* j e0 s' t',* e0 s',230,"gta0080,ste0195,uta0080"
ехал,*ех+а+л,* j e0 h + a4 + l,* j e0 h + + l,6,"ktb2017,ktb2025"
ехали,*ех+а+л/и,* j e0 h + a4 + l' / i4,* j e0 h + + l' / i4,6,cta0585
ехало,*ех+а+л/о,* j e0 h + a4 + l / a4,* j e0 h + y4 + l / a4,3,"cta0553,kta0553,ata0553"
ехать,*ех+а/ть,* j e0 h + a4 / t',* j e0 h + a4 / d',34,mta0281
ехидного,*ехид+н/ого,* j i1 h' i0 d + n / a4 v a4,* i1 h' i0 d + n / y4 v y1,8,ota0014
ехидством,*ехид+ств/ом,* j i1 h' i0 c + t v / a4 m,* j i1 h' i0 c + t v / a4 m,8,"cta0206,gta0206,kta0206,ota0206"
еще,*еще,* j i1 sc o0,* a0 e1 sc o0,1,ata0843
ею,*е/ю,* j e0 j / u4,* j e0 / u4,12,"ktb1254,ktb1430,ktc0877,utc0877,atb1719"
жадность,*жад+н+ость,* zh a0 d + n + a4 s' t',* zh a0 d + n + a4 s' t',3,ata0766
жалел,*жал+е+л,* zh y1 l' + e0 + l,* zh o1 l' + e0 + l,7,gta0396
жалела,*жал+е+л/а,* zh y1 l' + e0 + l / a4,* zh y1 l' + e0 + l / e4,17,sta0143
жалеть,*жал+е/ть,* zh a1 l' + e0 / t',* zh a1 l' + e0 / t',3,"cta0722,ata0722"
жалею,*жал+е/ю,* zh y1 l' + e0 / j u4,* zh y1 l' + e0 / u4,7,mta0061
жалко,*жал+к+о,* zh a0 l + k + a4,* sh a0 l + k + y4,26,otb0747
жалкой,*жал+к/ой,* zh a0 l + k / a4 j,* zh a0 l + k / o4,8,gta0151
жалком,*жал+к/ом,* zh a0 l + k / a4 m,* sh a0 l + k / y4 m,8,ota0434
жаловались,*жал+ова+л/и^сь,* zh a0 l + a4 v a4 + l' / i4 ^ s',* zh a0 l + a4 v o4 + l' / i4 ^ s',8,mta0329
жалостью,*жал+ость/ю,* zh a0 l + a4 s' t' / j u4,* zh a0 l + a4 s' t' / j u4,8,atb0274
жаль,*жаль,* zh a0 l',* zh a0 l',6,"ctb1461,ctc0511,ktb1461,ktc0511,utc0511,atb1461"
жаркий,*жар+к/ий,* zh a0 r + k' / i4 j,* zh a0 r + k' / i4,3,kta0927
жарко,*жар+к+о,* zh a0 r + k + a4,* sh a0 r + k + a4,8,otb0761
ждавшая,*жд+а+вш/ая,* zh d + a0 + f sh / a4 i,* zh d + a0 + f sh / a4 t,3,kta0732
ждавшей,*жд+а+вш/ей,* zh d + a0 + f sh / y4 j,* sh d + a0 + f sh / y4 j,3,ata0918
ждал,*жд+а+л,* zh d + a0 + l,* zh d + a0 + l,11,"cta0296,ctb1683,gta0296,ktb1683,kta0296,ota0296,sta0296,uta0296,ata0296,atb1683,mta0296"
ждали,*жд+а+л/и,* zh d + a0 + l' / i4,* sh d + a0 + l' / i4,88,otb0329
ждать,*жд+а/ть,* zh d + a0 / t',* zh d + a0 / t',6,"ctb1529,ctc0121,ktb1529,ktc0121,utc0121,atb1529"
ждем,*жд/ем,* zh d' / o0 m,* zh d' / o0 m,12,"ctb1419,ctc0351,ctc0456,ctc0742,ktb1419,ktc0351,ktc0456,ktc0742,utc0351,utc0456,utc0742,atb1419"
ждет,*жд/ет,* zh d' / o0 t,* sh d' / o0 t,35,otb0789
ждешь,*жд/ешь,* zh d' / o0 sh,* zh d' / o0 sh,6,"ctb1847,ctb1847,ktb1847,ktb1847,atb1847,atb1847"
ждите,*жд/ите,* zh d' / i0 t' i4,* zh d' / i0 t' i4,3,"ctb0993,ktb0993,atb0993"
ждут,*жд/ут,* zh d / u0 t,* sh t / u0 t,19,"atb0007,atb0058"
жевал,*жев+а+л,* zh y1 v + a0 + l,* zh y1 v + a0 + l,6,"cta0710,cta0717,kta0710,kta0717,ata0710,ata0717"
желает,*жел+а/ет,* zh y1 l + a0 / j i4 t,* zh y1 l + a0 / e4 t,3,kta0567
желал,*жел+а+л,* zh y1 l + a0 + l,* zh y1 l + a0 + l,8,"cta0434,gta0434,kta0434,ota0434,sta0434,uta0434,ata0434,mta0434"
желала,*жел+а+л/а,* zh y1 l + a0 + l / a4,* zh e1 l + a0 + l / a4,8,sta0158
желаю,*жел+а/ю,* zh y1 l + a0 j / u4,* zh e1 l + a0 / o4,14,gta0459
желают,*жел+а/ют,* zh y1 l + a0 j / u4 t,* sh y1 l + a0 / u4 t,4,otd0331
желающие,*жел+а+ющ/ие,* zh y1 l + a0 j + u4 sc / i4 j i4,* zh y1 l + a0 + u4 sc / i4,3,kta0810
железные,*желез+н/ые,* zh y1 l' e0 z + n / y4 j i4,* zh y1 l' e0 z + n / y4 i4,5,"cta0912,kta0912,otd0026,ata0912"
желтая,*желт/ая,* zh o0 l t / a4 j a4,* zh o0 l t / e4 a4,3,ktb1625
желтоватенькая,*желт+оват+еньк/ая,* zh y1 l t + a1 v a0 t' + i4 n' k / a4 j a4,* zh y1 l t + a1 v a0 t' + i4 n' k / e4 i4,3,kta0755
желтые,*желт/ые,* zh o0 l t / y4 j i4,* zh o0 l t / y4 i4,6,"ctb1326,ctb1567,ktb1326,ktb1567,atb1567"
желтым,*желт/ым,* zh o0 l t / y4 m,* zh o0 l t / y4 m,1,cta1137
желтыми,*желт/ыми,* zh o0 l t / y4 m' i4,* zh i0 l t / y4 m' i4,3,ctb1636
женат,*жен+ат,* zh y1 n + a0 t,* sh y1 n + a0 t,8,otb0679
женатых,*жен+ат/ых,* zh y1 n + a0 t / y4 h,* zh e1 n + a0 t / e4 h,8,"ktb0168,stb0168"
жене,*жен/е,* zh e0 n' / i4,* zh e0 n' / e4,3,cta1154
женихом,*жен+их/ом,* zh y1 n' + i1 h / o0 m,* zh e1 n' + e1 h / o0 m,8,ktb0264
женой,*жен/ой,* zh y1 n / o0 j,* zh e1 n / o0 i4,33,"kta0651,kta0388"
женской,*жен+ск/ой,* zh e0 n + s k / a4 j,* zh e0 n + s k / e4,3,"kta1086,ata1086"
женском,*жен+ск/ом,* zh e0 n + s k / a4 m,* sh e0 n + s k / a4 m,16,otb0165
женщин,*жен+щин,* zh e0 n' + sc i4 n,* zh e0 i4 + sc i4 n,15,utc0888
женщина,*жен+щин/а,* zh e0 n' + sc i4 n / a4,* zh e0 + sc i4 n / e4,101,"mtb0500,mtb0617"
женщинами,*жен+щин/ами,* zh e0 n' + sc i4 n / a4 m' i4,* zh e0 n + sc i4 n / e4 m' i4,8,ota0016
женщине,*жен+щин/е,* zh e0 n' + sc i4 n' / i4,* zh e0 n' + sc i4 n' / e4,6,"ctb0945,ctc0964,ktb0945"
женщиной,*жен+щин/ой,* zh e0 n' + sc i4 n / a4 j,* zh e0 n + sc i4 n / a4 j,8,ata0186
женщину,*жен+щин/у,* zh e0 n' + sc i4 n / u4,* zh e0 n + sc i4 n / u4,10,utb0659
женщины,*жен+щин/ы,* zh e0 n' + sc i4 n / y4,* zh e0 i4 + sc i4 n / y4,54,mta0018
жены,*жен/ы,* zh o0 n / y4,* zh o0 n / y4,3,"cta0770,kta0770,ata0770"
женя,*жен/я,* zh e0 n' / a4,* zh e0 n' / a4,1,cta1143
жерехов,*жерех+ов,* zh e0 r' i1 h + a4 f,* zh e0 r' e4 h + e4 f,47,gta0440
жерехова,*жерех+ов/а,* zh e0 r' i1 h + a2 v / a2,* zh e0 r' i4 h + y4 v / y4,8,cta0434
жереховым,*жерех+ов/ым,* zh e0 r' i4 h + a4 v / y4 m,* zh e0 r' e4 h + y4 v / y4 m,8,gta0407
жертва,*жертв/а,* zh e0 r t v / a4,* zh e0 r t v / a4,8,"cta0201,gta0201,kta0201,ota0201,uta0201,ata0201,mta0201"
жест,*жест,* zh e0 s t,* zh e0 s t,8,"cta0137,gta0137,kta0137,ota0137,sta0137,uta0137,ata0137,mta0137"
жесткими,*жестк/ими,* zh o0 s t k' / i4 m' i4,* zh o0 s k' / i4 m' i4,8,ctb0746
жесткой,*жест+к/ой,* zh o0 s t + k / a4 j,* zh o0 s + k / y4,3,cta0779
жестокие,*жест+ок/ие,* zh y1 s t + o0 k' / i4 - i4,* zh y1 s t + o0 k' / i4,8,mta0014
жестокосердии,*жест+ок=о*серд+и/и,* zh y1 s t + a2 k = a1 * s' e0 r d' + i4 / i4,* zh y1 s t + y1 k = a1 * s' e0 r d' + i4 / i4,1,cta1122
жестокость,*жест+ок+ость,* zh y1 s t + o0 k + a4 s' t',* zh e1 s t + o0 k + e4 s' t',16,atb0444
жив,*жи+в,* zh y0 + f,* zh y0 + f,7,"cta0625,kta0625,ata0625"
живали,*жи+ва+л/и,* zh y1 + v a0 + l' / i4,* zh y1 + v a0 + l' / i4,2,"cta1079,kta1079"
живем,*жив/ем,* zh y1 v' / o0 m,* sh y1 v' / o0 m,18,atb0109
живет,*жив/ет,* zh y1 v' / o0 t,* zh y1 v' / o0 t,21,"ctb0150,ctb1200,ctb1399,ctb1930,gtb0150,gte0027,gte0222,ktb1200,ktb1399,ktb1930,ktb0150,otb0150,stb0150,ste0027,ste0222,utb0150,atb0150,atb1200,atb1399,atb1930,mtb0150"
живешь,*жив/ешь,* zh y1 v' / o0 sh,* zh y1 v' / o0 sh,8,"ctb0108,gtb0108,ktb0108,otb0108,stb0108,utb0108,atb0108,mtb0108"
живот,*жи+в+от,* zh y1 + v + o0 t,* zh u1 + v + o0 t,10,"uta0072,mta0072"
живут,*жи+в/ут,* zh y1 + v / u0 t,* zh y1 + v / u0 t,5,"cta0810,gte0172,kta0810,ste0172,ata0810"
живущим,*жи+в+ущ/им,* zh y1 + v + u0 sc / i4 m,* sh y1 + v + u0 sc / i4 m,3,ata0882
живущих,*жив+ущ/их,* zh y1 v + u0 sc / i4 h,* zh y1 v + u0 sc / h,8,stb0338
живший,*жи+вш/ий,* zh y0 + f sh / y4 j,* zh y0 + f sh / y4,3,"cta0744,kta0744,ata0744"
жившую,*жи+вш/ую,* zh y0 + f sh / u4 j u4,* zh y0 + f sh / u4 u4,3,"cta0936,kta0936,ata0936"
живые,*жи+в/ые,* zh y1 + v / y0 j i4,* zh y1 + v / y0 i4,4,"cta1151,ktc1278"
жизни,*жи+зн/и,* zh y0 + z' n' / i4,* sh y0 + z' n' / i4,100,"ota0485,otd0074"
жизнь,*жи+знь,* zh y0 + z' n',* zh y0 + s n',88,sta0201
жизнью,*жи+знь/ю,* zh y0 + z' n' / j u4,* zh y0 + s' n' / j u4,11,ata0849
жил,*жи+л,* zh y0 + l,* zh y0 + l,21,"cta0446,cta0636,cta0744,cta0946,gta0446,gte0105,gte0111,kta0636,kta0744,kta0946,kta0446,ota0446,sta0446,ste0105,ste0111,uta0446,ata0446,ata0636,ata0744,ata0946,mta0446"
жили,*жи+л/и,* zh y0 + l' / i4,* sh y0 + l' / i4,13,ata0879
жители,*жи+тел/и,* zh y0 + t' i4 l' / i4,* zh i0 + t' e4 l' / i4,8,ata0848
жить,*жи/ть,* zh y0 / t',* zh i0 / t',89,mta0395
жулик,*жул+ик,* zh u0 l' + i4 k,* zh u0 l' + i4 k,3,"cta0854,kta0854,ata0854"
журнал,*журнал,* zh u1 r n a0 l,* zh u1 r n a0 l,3,"cta0762,kta0762,ata0762"
журнале,*журнал/е,* zh u1 r n a0 l' / i4,* zh u1 r n a0 l' / e4,8,"ctb0104,ktb0104,utb0104,atb0104"
журналов,*журнал/ов,* zh u1 r n a0 l / a4 f,* zh u1 r n a0 l / a4 f,3,"ktb2063,atb2063"
жэк,*жэк,* zh e0 k,* sh e0 k,8,ota0451
забавно,*забав+н+о,* z a1 b a0 v + n + a4,* z a1 b a0 v + n + a4,6,"ctc1060,kta0882,ktc1060,utc1060,ata0882"
заболевают,~за*бол+е+ва/ют,~ z a2 * b a2 l' + i1 + v a0 / j u4 t,~ z e1 * b y1 l' + i1 + v a0 / j u4 t,3,ctb1719
заболела,~за*бол+е+л/а,~ z a2 * b a1 l' + e0 + l / a4,~ z a2 * b a1 l' + e0 + l / a4,22,"cta0224,ctb1092,gta0003,gta0224,kta0224,ota0003,sta0224,atb1099,mta0003"
забор,~за*бор,~ z a1 * b o0 r,~ z a1 * b o0 r,11,"cta0147,cta0853,gta0147,kta0853,kta0147,ota0147,sta0147,uta0147,ata0147,ata0853,mta0147"
забора,~за*бор/а,~ z a1 * b o0 r / a4,~ z a1 * b o0 r / a4,3,"cta0597,kta0597,ata0597"
заборов,~за*бор/ов,~ z a1 * b o0 r / a4 f,~ s a1 * b o0 r / a4 f,6,ata0739
забором,~за*бор/ом,~ z a1 * b o0 r / a4 m,~ z a1 * b o0 r / a4 m,3,"cta0738,kta0738"
заборы,~за*бор/ы,~ z a1 * b o0 r / y4,~ z a1 * b o0 r /,3,ata0740
забот,*забот,* z a1 b o0 t,* z a1 b o0 t,6,"cta1006,kta0847,kta1006,ata0847,ata1006"
забота,*забот/а,* z a1 b o0 t / a4,* z a1 b o0 t / a4,8,"ctb0490,otb0490,utb0490"
заботится,*забот/ит^ся,* z a1 b o0 t' / i4 ^ c a4,* z a1 b o0 t' / ^ c e4,8,utb0487
заботишься,*забот/ишь^ся,* z a1 b o0 t' / i4 sh ^ s' a4,* z a1 b o0 t' / i4 sh ^ s' a4,3,"ctb1174,ktb1174,atb1174"
заботятся,*забот/ят^ся,* z a1 b o0 t' / i4 ^ c a4,* s a1 b o0 t' / ^ c a4,24,otb0276
забочусь,*забоч/у^сь,* z a1 b o0 ch / u4 ^ s',* z a1 b o0 ch / i4 ^ s',8,"kta0069,uta0069"
забросил,~за*брос+и+л,~ z a1 * b r o0 s' + i4 + l,~ z a1 * b r o0 s' + i4 + l,6,"ctb1022,ctb1023,ktb1022,ktb1023,atb1022,atb1023"
